FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,MW,Year,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,TGD,Prob_D,Elo_Before_Home,Elo_Before_Away,Days_D,form_diff,SP_diff,Overall_diff,Attack_diff,Midfield_diff,Defence_diff
H,30.0,7.0,20.0,4.0,9.0,9.0,12.0,3.0,0.0,0.0,0.0,0.0,1.3483333333333334,4.921666666666667,9.536666666666667,1.36,5.4,10.87,21,2013,1.68,2.5,1.59,2.29,25,0.19423585506399474,1061.7557456768925,912.2358170452211,0.0,7.098,0.39999999999999997,9,10,9,8
A,17.0,10.0,10.0,5.0,14.0,6.0,10.0,5.0,0.0,0.0,0.0,0.0,1.995,3.455,3.818333333333333,2.02,3.63,4.01,21,2013,1.91,2.09,1.83,1.97,9,0.23268936205266813,1015.5141665415334,944.8800078825269,0.0,5.354,0.2,-3,-4,-1,-4
H,14.0,9.0,8.0,3.0,14.0,7.0,11.0,3.0,0.0,0.0,0.0,0.0,2.1166666666666667,3.3316666666666666,3.548333333333334,2.2,3.49,3.89,21,2013,1.98,2.02,1.87,1.92,4,0.24188849191599487,963.2666000082531,974.0541298685903,0.0,-4.704,-0.33333333333333337,1,3,1,-1
A,7.0,14.0,3.0,9.0,13.0,5.0,1.0,6.0,1.0,1.0,0.0,0.0,6.163333333333334,4.075,1.5450000000000002,6.5,4.3,1.6,21,2013,1.62,2.52,1.55,2.36,-35,0.2423400102658359,927.783932647024,1132.3493537366262,0.0,-6.759,-0.6000000000000001,-8,-12,-9,-10
A,9.0,16.0,4.0,9.0,11.0,18.0,2.0,7.0,2.0,4.0,1.0,1.0,2.6266666666666665,3.3633333333333333,2.73,2.7,3.5,2.83,22,2013,1.8,2.2,1.71,2.12,0,0.24799478952477588,1098.5138614388386,1118.6123634913235,0.0,0.016000000000000014,0.06666666666666665,-2,-5,-4,0
A,16.0,11.0,10.0,4.0,9.0,6.0,9.0,5.0,1.0,1.0,0.0,0.0,2.4933333333333336,3.318333333333334,2.9133333333333336,2.62,3.5,3.03,22,2013,1.91,2.05,1.83,1.96,-13,0.2590034042936496,895.6710079939203,945.3300309054321,0.0,-0.399,0.0,2,1,-2,0
D,16.0,4.0,8.0,2.0,13.0,9.0,7.0,1.0,1.0,4.0,0.0,0.0,1.5850000000000002,4.051666666666667,6.1499999999999995,1.62,4.38,6.5,22,2013,1.75,2.25,1.71,2.12,4,0.24188849191599487,1057.2202256994624,1021.2606779515817,-1.0,1.6079999999999999,0.2666666666666666,2,0,3,4
D,14.0,15.0,5.0,6.0,8.0,15.0,6.0,8.0,0.0,1.0,0.0,0.0,2.0016666666666665,3.4016666666666673,3.9450000000000003,2.05,3.56,4.1,22,2013,1.8,2.2,1.74,2.08,12,0.22641776700237176,956.8854686711063,916.009491759787,0.0,-0.12200000000000033,0.06666666666666665,3,4,3,3
H,15.0,12.0,10.0,5.0,14.0,16.0,3.0,1.0,1.0,4.0,0.0,0.0,1.8849999999999998,3.6350000000000002,4.183333333333334,1.95,3.8,4.3,22,2013,1.63,2.48,1.58,2.31,18,0.21243166585976095,1144.1237946238632,1039.0147174413696,1.0,4.176,0.2666666666666667,3,10,1,3
D,12.0,9.0,3.0,4.0,5.0,6.0,5.0,4.0,0.0,1.0,0.0,0.0,2.195,3.44,3.355,2.25,3.6,3.5,22,2013,1.85,2.15,1.76,2.04,2,0.2450883375885501,963.7437395370811,931.8980820597784,1.0,0.41000000000000014,0.0,-4,-9,-4,-4
D,4.0,16.0,1.0,8.0,10.0,7.0,2.0,6.0,1.0,1.0,0.0,0.0,4.3,3.643333333333333,1.8616666666666666,4.5,3.91,1.91,22,2013,1.78,2.26,1.72,2.1,-31,0.24886608371787744,897.3641097208832,1070.6715022166104,-1.0,-9.763,-0.4666666666666667,-5,-5,-5,-5
H,7.0,11.0,7.0,6.0,6.0,13.0,8.0,4.0,1.0,1.0,0.0,0.0,2.9150000000000005,3.276666666666667,2.52,3.0,3.46,2.6,22,2013,1.88,2.08,1.82,1.97,-19,0.25905610325733963,903.3200605055031,1003.508705752954,0.0,-5.975,-0.2,-3,-2,-5,0
A,11.0,11.0,5.0,9.0,13.0,9.0,6.0,7.0,1.0,0.0,0.0,0.0,4.18,3.35,1.9616666666666667,4.33,3.5,2.01,22,2013,2.2,1.8,2.07,1.74,-19,0.25905610325733963,1018.4620937311063,1089.1043056804149,1.0,-0.07300000000000006,-0.2666666666666666,-6,-8,-6,-6
H,18.0,9.0,14.0,4.0,10.0,13.0,4.0,6.0,0.0,3.0,0.0,0.0,2.345,3.2600000000000002,3.1833333333333336,2.41,3.36,3.3,22,2013,2.2,1.78,2.11,1.72,-4,0.2528815935799697,955.7087704792214,973.5769903397623,-1.0,1.9250000000000003,0.13333333333333336,1,0,-1,2
H,13.0,12.0,8.0,8.0,10.0,11.0,3.0,9.0,2.0,1.0,0.0,0.0,1.945,3.525,3.9433333333333334,2.0,3.75,4.06,23,2013,1.71,2.34,1.66,2.18,4,0.24188849191599487,1109.0900975367156,1084.380616900892,1.0,-1.451,0.13333333333333341,1,2,1,1
H,17.0,5.0,10.0,3.0,10.0,8.0,10.0,4.0,1.0,1.0,0.0,0.0,1.33,5.258333333333334,9.678333333333333,1.36,5.75,10.52,23,2013,1.57,2.72,1.51,2.48,17,0.21488187438800674,1031.9509633732405,963.2867228302483,-1.0,0.6689999999999999,0.5333333333333333,6,4,7,6
H,20.0,3.0,11.0,0.0,12.0,6.0,1.0,2.0,1.0,2.0,0.0,0.0,1.2483333333333333,6.026666666666666,12.556666666666667,1.29,6.66,14.0,23,2013,1.52,2.8,1.46,2.61,29,0.18325102179538824,1132.7456080292702,956.2999152610512,-1.0,5.313000000000001,0.46666666666666673,5,7,8,5
A,15.0,6.0,10.0,2.0,9.0,10.0,6.0,2.0,2.0,3.0,0.0,0.0,1.7583333333333335,3.768333333333333,4.746666666666667,1.8,4.0,5.08,23,2013,1.78,2.22,1.72,2.09,4,0.24188849191599487,932.3550987666111,916.1263633071533,0.0,4.332999999999999,-0.2,6,9,8,6
D,14.0,10.0,11.0,7.0,14.0,11.0,10.0,6.0,2.0,1.0,0.0,0.0,3.805,3.4500000000000006,2.01,4.0,3.6,2.05,23,2013,1.87,2.1,1.78,2.03,-19,0.25905610325733963,953.9103835306443,1056.704566182231,0.0,-1.0310000000000001,-0.2666666666666666,-3,-1,-2,-6
H,12.0,7.0,6.0,2.0,11.0,9.0,7.0,6.0,0.0,0.0,0.0,0.0,2.1616666666666666,3.3366666666666664,3.5400000000000005,2.25,3.42,3.74,23,2013,2.26,1.75,2.16,1.68,8,0.23465944949055553,1021.7763374688132,998.4763018748056,0.0,-1.868,0.13333333333333336,-1,0,-1,-2
D,23.0,6.0,18.0,4.0,7.0,14.0,9.0,4.0,1.0,4.0,0.0,0.0,2.8983333333333334,3.4583333333333335,2.4366666666666665,3.0,3.65,2.52,23,2013,1.7,2.36,1.64,2.22,-15,0.25939097731144883,1068.3655638311586,1151.1875486919923,1.0,-5.119999999999999,-0.13333333333333341,-2,-4,-3,-3
D,25.0,11.0,9.0,7.0,8.0,10.0,8.0,8.0,3.0,3.0,0.0,0.0,1.7599999999999998,3.7133333333333334,4.858333333333333,1.8,4.0,5.4,23,2013,1.89,2.06,1.81,1.97,26,0.19151852291995855,990.7024029513038,887.0906553687081,0.0,3.58,0.33333333333333337,-1,0,2,0
D,22.0,9.0,13.0,6.0,6.0,11.0,12.0,2.0,1.0,0.0,0.0,0.0,2.058333333333333,3.4366666666666674,3.733333333333333,2.1,3.62,3.9,23,2013,2.08,1.88,1.97,1.82,12,0.22641776700237176,952.549318802146,899.670048106335,0.0,4.297000000000001,-0.06666666666666665,-1,-2,1,-2
A,20.0,10.0,11.0,5.0,10.0,16.0,9.0,0.0,3.0,2.0,0.0,0.0,2.146666666666667,3.328333333333333,3.5900000000000003,2.2,3.52,3.8,23,2013,2.18,1.83,2.03,1.77,-12,0.25867340261546834,916.5950451698421,976.7364420168377,0.0,-2.527,-0.3333333333333333,-1,-1,-1,-2
D,14.0,10.0,6.0,5.0,9.0,11.0,8.0,6.0,3.0,1.0,0.0,0.0,2.3700000000000006,3.36,3.073333333333333,2.45,3.56,3.14,24,2013,1.76,2.26,1.7,2.13,7,0.23656617918391817,1075.0906162680246,1056.0980204405917,-1.0,0.837,-0.1333333333333333,1,4,-1,1
A,10.0,10.0,4.0,7.0,16.0,9.0,3.0,4.0,5.0,2.0,0.0,0.0,2.7733333333333334,3.2883333333333327,2.6350000000000002,2.9,3.43,2.75,24,2013,2.0,1.95,1.91,1.89,-12,0.25867340261546834,888.5390629991542,921.8883376272792,0.0,-3.028,0.06666666666666667,-2,-7,-5,-6
H,11.0,7.0,4.0,4.0,9.0,14.0,5.0,2.0,0.0,2.0,0.0,0.0,1.5850000000000002,4.116666666666666,5.896666666666666,1.62,4.3,6.73,24,2013,1.74,2.3,1.67,2.16,8,0.23465944949055553,1055.2669442655294,989.2539953208577,-2.0,1.055,0.26666666666666666,2,0,2,6
H,13.0,8.0,6.0,4.0,8.0,9.0,2.0,8.0,2.0,0.0,0.0,0.0,2.1666666666666665,3.4066666666666663,3.451666666666666,2.25,3.54,3.6,24,2013,1.89,2.09,1.83,1.97,0,0.24799478952477588,948.3239581202007,951.7941469902912,0.0,2.2,0.06666666666666665,3,3,1,3
H,11.0,21.0,7.0,10.0,10.0,10.0,4.0,8.0,2.0,1.0,0.0,0.0,1.22,6.753333333333333,12.985,1.25,7.02,15.0,24,2013,1.42,3.25,1.36,3.01,37,0.16090177588487345,1150.0177197009418,955.3480054473458,1.0,6.763,0.4,9,13,7,11
D,8.0,12.0,4.0,7.0,13.0,14.0,3.0,6.0,4.0,1.0,0.0,0.0,4.5,3.606666666666667,1.8266666666666664,4.75,3.79,1.85,24,2013,1.87,2.1,1.78,2.02,-27,0.25381871388780586,939.1396657628973,1069.5353928222091,1.0,-0.18600000000000017,-0.6666666666666666,-7,-10,-5,-6
D,5.0,15.0,3.0,7.0,9.0,9.0,2.0,10.0,2.0,2.0,0.0,0.0,6.93,4.363333333333333,1.495,7.5,4.78,1.55,24,2013,1.78,2.36,1.68,2.16,-45,0.2191485590464096,900.4252199181898,1140.7215651701208,0.0,-13.404,-0.46666666666666673,-7,-8,-10,-6
D,5.0,14.0,2.0,5.0,8.0,20.0,0.0,6.0,1.0,2.0,0.0,0.0,6.978333333333334,4.336666666666666,1.4883333333333333,7.52,4.72,1.5,24,2013,1.65,2.5,1.58,2.33,-40,0.2319675952179758,926.5931244464853,1118.3800981695829,1.0,-5.11,-0.13333333333333341,-10,-10,-11,-10
D,9.0,11.0,4.0,6.0,12.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,2.138333333333333,3.27,3.69,2.2,3.32,3.84,24,2013,2.4,1.7,2.26,1.63,13,0.22421333782553032,984.4807399281466,908.3089691972941,0.0,1.8120000000000003,0.0,1,0,2,3
D,4.0,18.0,2.0,8.0,11.0,11.0,3.0,4.0,1.0,2.0,0.0,0.0,2.478333333333333,3.26,2.9766666666666666,2.6,3.4,3.11,24,2013,2.2,1.8,2.06,1.75,-11,0.25825367230956514,985.0225179893857,1035.771899415472,0.0,2.709,0.0,1,1,0,1
H,15.0,6.0,9.0,2.0,3.0,13.0,11.0,1.0,0.0,3.0,0.0,0.0,1.4383333333333332,4.296666666666667,8.4,1.45,4.68,9.15,25,2013,1.82,2.2,1.74,2.08,24,0.19692912938494123,1074.8175627746639,983.4017721683861,-1.0,3.161,0.19999999999999998,5,6,5,5
D,22.0,8.0,13.0,4.0,6.0,23.0,15.0,2.0,1.0,4.0,0.0,0.0,1.39,4.721666666666667,8.950000000000001,1.42,5.13,10.25,25,2013,1.73,2.32,1.66,2.2,36,0.16368130427101546,1063.3894769949638,879.4959951903128,-1.0,6.553,0.4,1,0,4,6
A,15.0,13.0,8.0,8.0,8.0,15.0,5.0,8.0,1.0,1.0,0.0,0.0,5.538333333333334,4.015,1.625,5.73,4.24,1.67,25,2013,1.67,2.46,1.6,2.28,-33,0.24580005003739222,963.4737732351584,1154.935686622488,0.0,-7.066,-0.4,-5,-8,-6,-7
D,9.0,21.0,5.0,12.0,14.0,7.0,9.0,10.0,2.0,4.0,0.0,0.0,1.8366666666666667,3.748333333333333,4.281666666666667,1.87,3.9,4.69,25,2013,1.74,2.34,1.67,2.18,14,0.22195537280034086,1137.726429446694,1056.3710739339524,1.0,-0.9209999999999998,0.20000000000000007,3,9,3,1
H,19.0,12.0,13.0,6.0,11.0,5.0,5.0,4.0,2.0,3.0,0.0,0.0,3.9583333333333335,3.5083333333333333,1.9716666666666665,4.0,3.7,2.05,25,2013,1.81,2.19,1.74,2.08,-37,0.23848599281244653,930.9314054361206,1115.8699825844637,1.0,0.4039999999999999,-0.39999999999999997,-4,-1,-3,-4
D,15.0,14.0,7.0,9.0,6.0,20.0,10.0,8.0,2.0,5.0,0.0,0.0,1.9516666666666664,3.49,4.0633333333333335,2.0,3.6,4.35,25,2013,2.02,1.96,1.91,1.88,-4,0.2528815935799697,903.4203556416167,940.9327995087324,1.0,-13.294999999999998,0.2666666666666667,2,5,0,1
H,9.0,10.0,5.0,6.0,12.0,15.0,6.0,8.0,1.0,3.0,0.0,0.0,2.441666666666667,3.2899999999999996,2.965,2.55,3.4,3.04,25,2013,2.06,1.91,1.96,1.83,-11,0.25825367230956514,929.1032400316044,985.7477100529683,-1.0,-6.157,0.19999999999999996,-4,-3,-4,-3
A,4.0,21.0,3.0,13.0,9.0,9.0,2.0,17.0,1.0,0.0,1.0,0.0,3.526666666666667,3.2133333333333334,2.1433333333333335,3.6,3.48,2.21,25,2013,1.95,2.0,1.88,1.91,-12,0.25867340261546834,981.1314625914233,1067.742259076374,0.0,-2.1710000000000003,-0.5333333333333333,-6,-8,-4,-8
H,18.0,11.0,9.0,7.0,7.0,9.0,5.0,3.0,1.0,1.0,0.0,0.0,2.39,3.2699999999999996,3.1216666666666666,2.45,3.42,3.33,25,2013,2.0,2.0,1.9,1.89,-16,0.2594470348798358,936.6443318753335,1035.0467073518896,-1.0,-4.1659999999999995,-0.3333333333333333,0,1,1,-1
D,5.0,15.0,3.0,7.0,6.0,16.0,8.0,5.0,0.0,2.0,0.0,0.0,2.1816666666666666,3.371666666666666,3.4566666666666666,2.25,3.53,3.6,25,2013,1.88,2.08,1.8,2.0,-7,0.25569545875893795,909.3879369570546,950.4300385257998,1.0,-0.5449999999999999,-0.06666666666666671,1,1,-2,1
H,7.0,13.0,2.0,7.0,15.0,12.0,4.0,10.0,3.0,2.0,0.0,0.0,2.6166666666666667,3.2966666666666664,2.783333333333333,2.7,3.43,2.88,26,2013,2.02,1.92,1.95,1.83,-18,0.2592802277729883,881.920178372246,949.4032026273043,0.0,-2.829999999999999,-0.26666666666666666,1,-1,-2,-1
H,25.0,13.0,17.0,10.0,9.0,13.0,10.0,6.0,1.0,2.0,0.0,0.0,1.3466666666666667,5.161666666666666,9.15,1.36,5.5,9.9,26,2013,1.55,2.72,1.49,2.52,42,0.14729499033820018,1100.9986403997013,909.9758481723048,0.0,2.3810000000000002,0.26666666666666666,7,8,8,9
A,23.0,4.0,14.0,3.0,9.0,9.0,13.0,5.0,1.0,4.0,0.0,0.0,1.3800000000000001,4.8933333333333335,8.566666666666666,1.4,5.26,9.9,26,2013,1.68,2.4,1.61,2.26,13,0.22421333782553032,1057.5209321960958,973.5739355007049,0.0,3.132,0.4666666666666667,5,2,6,8
H,10.0,9.0,6.0,8.0,12.0,9.0,7.0,6.0,0.0,2.0,0.0,0.0,1.7466666666666668,3.7516666666666665,4.864999999999999,1.8,4.0,5.1,26,2013,1.69,2.38,1.62,2.25,19,0.20993916133332194,1159.9224567635222,1060.9652938130305,0.0,8.39,0.2666666666666667,6,12,5,5
D,15.0,7.0,8.0,5.0,10.0,16.0,3.0,4.0,2.0,2.0,0.0,0.0,2.2933333333333334,3.3366666666666664,3.2183333333333333,2.3,3.47,3.46,26,2013,2.05,1.92,1.95,1.84,-9,0.2571485348086478,940.3950400514718,958.4870030941242,0.0,-1.7319999999999998,-0.26666666666666666,-4,-6,-2,-2
H,13.0,7.0,7.0,4.0,9.0,13.0,6.0,6.0,1.0,2.0,0.0,0.0,5.566666666666666,3.956666666666667,1.6316666666666668,5.75,4.14,1.67,26,2013,1.82,2.18,1.73,2.09,-37,0.23848599281244653,949.8421273105496,1136.5765711845506,1.0,-2.558,-0.33333333333333326,-9,-12,-9,-9
H,13.0,5.0,10.0,4.0,7.0,4.0,11.0,3.0,2.0,0.0,0.0,0.0,1.91,3.438333333333334,4.358333333333333,1.95,3.6,4.6,26,2013,2.12,1.85,2.03,1.77,8,0.23465944949055553,975.9738474193063,940.7193055261841,0.0,3.8710000000000004,-0.6,4,2,5,4
A,12.0,18.0,7.0,9.0,6.0,13.0,11.0,2.0,3.0,2.0,0.0,1.0,4.298333333333333,3.57,1.8766666666666667,4.59,3.72,1.91,26,2013,1.94,2.0,1.87,1.91,-25,0.2557079967708867,974.1316445583885,1082.2454875237436,0.0,-4.199,0.13333333333333336,-5,-5,-6,-6
H,13.0,14.0,12.0,8.0,10.0,9.0,5.0,2.0,1.0,3.0,0.0,0.0,1.8499999999999999,3.535,4.501666666666667,1.91,3.75,4.96,26,2013,2.15,1.82,2.05,1.75,25,0.19423585506399474,1022.2878365999188,903.9581150988772,0.0,12.863999999999999,-0.06666666666666665,-1,-3,0,-1
H,16.0,9.0,9.0,7.0,5.0,11.0,11.0,5.0,0.0,2.0,0.0,0.0,1.6799999999999997,3.815,5.321666666666666,1.7,4.09,5.78,26,2013,1.74,2.26,1.69,2.15,24,0.19692912938494123,1075.2997861670924,945.802747620883,-1.0,0.6789999999999999,0.1333333333333333,3,1,1,2
H,24.0,5.0,14.0,3.0,7.0,12.0,12.0,3.0,1.0,2.0,0.0,0.0,1.325,5.213333333333334,10.198333333333332,1.35,5.73,11.84,27,2013,1.6,2.64,1.53,2.42,46,0.13698886731775417,1089.230415877201,893.8384337115762,1.0,9.611,0.13333333333333336,5,6,7,9
H,20.0,7.0,9.0,2.0,4.0,9.0,9.0,4.0,1.0,3.0,0.0,0.0,2.1633333333333336,3.263333333333333,3.616666666666667,2.25,3.38,3.75,27,2013,2.31,1.75,2.15,1.69,-1,0.24933431122719324,958.2268738946766,984.9626084327609,0.0,-3.402,0.06666666666666665,2,4,1,0
H,33.0,4.0,18.0,3.0,6.0,9.0,10.0,1.0,0.0,1.0,0.0,0.0,1.57,4.178333333333334,5.8500000000000005,1.6,4.47,6.5,27,2013,1.71,2.33,1.66,2.2,1,0.2465789867860092,1038.9655682320233,1035.7279290324836,-2.0,-1.6219999999999999,-0.2,5,2,7,6
H,15.0,4.0,11.0,1.0,19.0,5.0,6.0,6.0,3.0,1.0,0.0,0.0,1.9483333333333333,3.466666666666667,4.1433333333333335,2.0,3.75,4.33,27,2013,1.8,2.3,1.71,2.12,-3,0.25177902346421743,1114.2105719087867,1110.9911175684076,0.0,-1.974,-0.1333333333333333,1,3,3,-1
H,11.0,11.0,5.0,7.0,12.0,12.0,7.0,3.0,0.0,4.0,0.0,0.0,2.1300000000000003,3.4150000000000005,3.473333333333333,2.2,3.59,3.6,27,2013,1.84,2.12,1.76,2.05,-3,0.25177902346421743,939.366454650961,972.2081265863134,0.0,2.6980000000000004,-0.06666666666666665,4,8,3,6
H,10.0,11.0,9.0,5.0,15.0,10.0,7.0,5.0,1.0,1.0,0.0,0.0,3.6633333333333336,3.361666666666667,2.0983333333333336,3.8,3.5,2.15,27,2013,2.05,1.9,1.96,1.83,-23,0.25720867867883124,940.6551692509195,1050.125719195962,1.0,-1.4169999999999998,-0.13333333333333336,-3,-2,-3,-4
A,12.0,13.0,5.0,8.0,10.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,6.734999999999999,4.0566666666666675,1.5366666666666668,7.0,4.33,1.57,27,2013,1.84,2.25,1.73,2.09,-53,0.19363804821508948,890.5180226663123,1170.7620313805908,1.0,-26.872999999999998,-0.6000000000000001,-7,-9,-8,-8
A,7.0,14.0,1.0,8.0,9.0,11.0,2.0,9.0,1.0,1.0,1.0,0.0,2.545,3.295,2.8816666666666664,2.65,3.47,3.1,27,2013,1.91,2.08,1.82,1.97,6,0.23840775135150963,931.7305445127295,899.9833710035986,0.0,-2.1630000000000003,0.4666666666666666,-3,-2,-3,-1
H,17.0,10.0,7.0,6.0,13.0,9.0,5.0,5.0,2.0,1.0,0.0,0.0,2.0266666666666664,3.391666666666666,3.9,2.1,3.55,4.15,27,2013,2.08,1.91,1.99,1.8,7,0.23656617918391817,992.1292994647774,967.1467162049311,-2.0,-0.2979999999999996,-0.2,-1,-1,1,-3
A,8.0,25.0,6.0,16.0,12.0,7.0,6.0,12.0,4.0,1.0,0.0,0.0,3.491666666666667,3.35,2.1649999999999996,3.65,3.5,2.2,27,2013,1.98,1.98,1.89,1.89,-23,0.25720867867883124,937.4849472879741,1081.7360791370145,-1.0,-9.548,-0.3333333333333333,-6,-7,-4,-7
A,10.0,20.0,5.0,12.0,10.0,14.0,6.0,5.0,2.0,0.0,0.0,0.0,6.87,4.3500000000000005,1.4883333333333333,7.62,4.6,1.55,28,2013,1.77,2.3,1.71,2.11,-52,0.1971577826321729,888.9358699671224,1129.071580869947,1.0,-5.495000000000001,-0.2,-7,-11,-11,-9
H,25.0,8.0,19.0,4.0,12.0,16.0,9.0,7.0,1.0,2.0,0.0,0.0,1.413333333333333,4.6466666666666665,8.138333333333334,1.44,5.0,9.0,28,2013,1.67,2.5,1.57,2.32,23,0.19959555613094576,1096.1301086072474,1001.411479635164,-1.0,0.813,0.0,7,8,6,10
H,18.0,12.0,12.0,6.0,8.0,8.0,9.0,10.0,1.0,1.0,0.0,0.0,1.3916666666666666,4.843333333333334,8.488333333333333,1.42,5.16,10.0,28,2013,1.73,2.38,1.63,2.24,25,0.19423585506399474,1037.0751901356975,909.9080996601602,0.0,2.899,-0.13333333333333336,5,2,7,6
H,13.0,1.0,10.0,1.0,5.0,15.0,7.0,3.0,0.0,4.0,0.0,0.0,1.3383333333333332,5.138333333333333,9.448333333333332,1.38,5.5,11.0,28,2013,1.67,2.46,1.58,2.3,47,0.13452640953524236,1175.746316681416,953.7056983111839,0.0,17.114,0.4666666666666667,9,14,8,9
A,17.0,5.0,9.0,3.0,7.0,15.0,6.0,3.0,1.0,3.0,0.0,0.0,1.8600000000000003,3.59,4.36,1.9,3.8,4.56,28,2013,1.95,2.06,1.84,1.95,13,0.22421333782553032,955.7944456106568,885.5337373654871,-1.0,18.42,0.1333333333333333,-2,-4,1,-3
A,10.0,10.0,2.0,7.0,12.0,12.0,4.0,2.0,1.0,2.0,0.0,0.0,2.098333333333333,3.285,3.7466666666666666,2.15,3.31,4.0,28,2013,2.28,1.75,2.15,1.68,4,0.24188849191599487,974.1946074567644,931.4136369503367,2.0,7.385,0.0,1,-1,0,3
D,12.0,7.0,6.0,4.0,9.0,14.0,7.0,3.0,1.0,3.0,0.0,0.0,2.35,3.2183333333333333,3.2533333333333334,2.4,3.31,3.42,28,2013,2.15,1.83,2.07,1.74,-2,0.2505961674670044,957.8645360345445,968.9948748706731,0.0,-0.4380000000000006,-0.2,-2,-3,-2,-1
H,10.0,14.0,7.0,7.0,9.0,17.0,7.0,7.0,0.0,2.0,0.0,0.0,2.09,3.513333333333333,3.545,2.15,3.6,3.82,28,2013,1.87,2.11,1.79,2.0,14,0.22195537280034086,1006.0074811815429,955.7801356266176,7.0,-0.945,-0.1333333333333333,-3,-7,-4,-4
H,11.0,10.0,5.0,6.0,17.0,13.0,4.0,6.0,3.0,1.0,0.0,0.0,2.3183333333333334,3.483333333333334,3.0733333333333337,2.38,3.6,3.25,28,2013,1.74,2.34,1.66,2.19,-7,0.25569545875893795,1087.807389474652,1094.1329796216548,-2.0,-1.4809999999999999,0.06666666666666665,0,2,-1,-1
A,15.0,8.0,11.0,7.0,11.0,15.0,4.0,3.0,2.0,2.0,0.0,0.0,4.368333333333333,3.671666666666667,1.8350000000000002,4.5,3.8,1.88,28,2013,1.76,2.25,1.7,2.13,-33,0.24580005003739222,921.8058158561678,1068.686016082964,-6.0,-1.367,-0.2,-5,-2,-8,-7
D,10.0,10.0,6.0,5.0,11.0,12.0,8.0,1.0,2.0,3.0,0.0,0.0,1.7516666666666667,3.7816666666666667,4.751666666666666,1.8,3.94,5.06,29,2013,1.74,2.29,1.68,2.18,12,0.22641776700237176,1083.9509346160814,1046.8176554006063,-1.0,7.096,0.19999999999999996,4,6,3,3
A,11.0,13.0,7.0,10.0,11.0,11.0,6.0,5.0,2.0,1.0,0.0,0.0,4.453333333333334,3.6766666666666663,1.8099999999999998,4.87,3.81,1.9,29,2013,1.82,2.16,1.75,2.06,-31,0.24886608371787744,968.8347511926844,1103.4694782024885,0.0,-3.1029999999999998,0.06666666666666665,-4,-4,-5,-6
H,10.0,15.0,4.0,9.0,9.0,8.0,1.0,4.0,1.0,1.0,0.0,0.0,1.9383333333333332,3.6599999999999997,3.905,2.0,3.9,4.13,29,2013,1.7,2.34,1.64,2.22,3,0.24352432716659092,1083.7047911371408,1097.9894344802253,1.0,-5.047000000000001,-0.33333333333333337,-1,-6,2,0
H,10.0,8.0,4.0,6.0,12.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0,1.2683333333333333,5.803333333333334,11.49,1.36,6.5,14.0,29,2013,1.56,2.7,1.5,2.5,49,0.12976813924834718,1133.0842746313115,906.787040801991,-2.0,3.531,0.2,8,11,11,8
H,14.0,7.0,6.0,4.0,10.0,12.0,14.0,4.0,1.0,1.0,0.0,0.0,1.8366666666666667,3.4950000000000006,4.656666666666666,1.9,3.72,5.0,29,2013,2.13,1.83,2.05,1.75,-4,0.2528815935799697,947.2158072348664,962.9694577473338,0.0,4.8469999999999995,0.3333333333333333,2,7,3,2
D,3.0,15.0,2.0,7.0,9.0,10.0,1.0,7.0,2.0,3.0,0.0,0.0,2.4499999999999997,3.3049999999999997,2.9766666666666666,2.55,3.43,3.1,29,2013,1.97,2.02,1.88,1.91,-6,0.25484097628647767,942.8125913589496,943.7993035076186,0.0,2.389000000000001,0.13333333333333336,0,-1,-1,2
H,15.0,7.0,8.0,3.0,4.0,19.0,4.0,5.0,0.0,2.0,0.0,0.0,2.2516666666666665,3.295,3.3683333333333336,2.3,3.4,3.61,29,2013,2.18,1.82,2.07,1.75,-16,0.2594470348798358,897.5288794685254,958.0246597125332,0.0,-16.660999999999998,0.19999999999999998,0,2,0,0
A,10.0,18.0,4.0,7.0,8.0,7.0,6.0,1.0,2.0,3.0,0.0,0.0,2.4033333333333338,3.308333333333333,3.0483333333333333,2.5,3.4,3.19,29,2013,1.87,2.08,1.82,1.98,7,0.23656617918391817,900.1656343952515,884.9231762057577,2.0,-2.2720000000000002,0.0,-4,-2,-3,0
H,12.0,9.0,6.0,4.0,9.0,10.0,3.0,3.0,1.0,1.0,0.0,0.0,2.378333333333334,3.28,3.1183333333333336,2.45,3.4,3.21,29,2013,1.91,2.1,1.84,1.96,-4,0.2528815935799697,994.0721100399229,1014.5718095732941,0.0,-2.371,-0.06666666666666665,0,0,1,-2
D,10.0,15.0,4.0,9.0,9.0,7.0,2.0,5.0,1.0,0.0,0.0,0.0,5.426666666666667,3.7750000000000004,1.6749999999999998,5.75,4.1,1.7,29,2013,1.84,2.15,1.77,2.04,-46,0.21629375273169082,942.6387866597673,1186.6394236336503,0.0,-22.765,-0.6,-8,-11,-7,-10
