FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,MW,Year,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,TGD,Prob_D,Elo_Before_Home,Elo_Before_Away,Days_D,form_diff,SP_diff,Overall_diff,Attack_diff,Midfield_diff,Defence_diff
H,23.0,7.0,11.0,5.0,11.0,14.0,1.0,5.0,0.0,2.0,0.0,0.0,1.26,5.566666666666666,12.049999999999999,1.29,6.15,13.8,3,2013,1.65,2.45,1.58,2.31,7,0.23656617918391817,1029.7841475487285,980.0,-108.0,0.99,0.8333333333333334,10,10,11,10
A,17.0,11.0,8.0,7.0,12.0,7.0,10.0,2.0,2.0,2.0,0.0,0.0,2.0583333333333336,3.4233333333333333,3.67,2.1,3.54,3.9,3,2013,2.02,1.93,1.92,1.89,-3,0.25177902346421743,980.4306649202222,1000.0,0.0,-0.48,-0.16666666666666666,-1,-4,1,-1
H,19.0,9.0,12.0,5.0,12.0,3.0,8.0,3.0,2.0,1.0,0.0,0.0,1.1966666666666665,6.858333333333333,13.75,1.22,7.65,15.0,3,2013,1.41,3.25,1.35,3.04,6,0.23840775135150963,1009.5693350797778,970.0,-1.0,0.42000000000000015,0.5,7,8,10,6
D,16.0,13.0,6.0,9.0,6.0,20.0,10.0,6.0,1.0,4.0,0.0,0.0,1.6283333333333336,3.855,5.576666666666667,1.67,4.08,6.21,3,2013,1.9,2.05,1.81,1.99,2,0.2450883375885501,995.2158524512715,975.8625169167681,0.0,0.6000000000000001,0.5,2,7,5,6
A,15.0,18.0,8.0,9.0,9.0,4.0,4.0,7.0,1.0,0.0,0.0,0.0,5.833333333333333,4.185,1.55,6.25,4.48,1.6,3,2013,1.7,2.4,1.62,2.25,-3,0.25177902346421743,974.7841475487285,1001.1462326752459,0.0,-0.6000000000000001,-0.5,-9,-13,-7,-11
D,14.0,4.0,10.0,3.0,11.0,7.0,8.0,0.0,1.0,1.0,1.0,0.0,2.1783333333333332,3.3033333333333332,3.4116666666666666,2.2,3.47,3.67,3,2013,2.2,1.8,2.09,1.74,5,0.24018241989943095,1048.8499774443092,1020.0,-94.0,0.3899999999999999,0.33333333333333337,-1,-1,0,-1
D,15.0,10.0,9.0,4.0,7.0,12.0,4.0,2.0,1.0,0.0,1.0,0.0,1.3766666666666667,4.908333333333333,8.083333333333334,1.4,5.35,9.0,3,2013,1.57,2.72,1.51,2.49,4,0.24188849191599487,990.4306649202222,970.0,0.0,-0.17999999999999994,0.0,7,10,5,6
H,14.0,12.0,8.0,5.0,11.0,15.0,6.0,3.0,1.0,4.0,0.0,0.0,2.926666666666667,3.3049999999999997,2.4633333333333334,3.1,3.4,2.52,3,2013,2.15,1.83,2.04,1.77,0,0.24799478952477588,1019.5693350797778,1024.137483083232,0.0,-0.3899999999999999,-0.33333333333333337,-2,0,-2,-6
H,17.0,14.0,12.0,13.0,12.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,2.48,3.338333333333333,2.853333333333333,2.55,3.48,2.96,3,2013,2.02,1.93,1.94,1.87,-6,0.25484097628647767,991.1500225556907,1018.8537673247541,0.0,-0.18000000000000005,0.0,-3,-3,-1,-3
D,9.0,16.0,5.0,8.0,13.0,11.0,2.0,1.0,1.0,2.0,0.0,0.0,2.2516666666666665,3.25,3.295,2.3,3.35,3.57,3,2013,2.42,1.67,2.28,1.62,0,0.24799478952477588,1000.2158524512715,1000.0,1.0,-0.08999999999999997,0.16666666666666669,-1,0,-2,-3
H,20.0,9.0,12.0,4.0,4.0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,1.3633333333333333,4.801666666666667,9.023333333333333,1.4,5.26,10.0,4,2013,1.56,2.68,1.52,2.47,6,0.23840775135150963,1014.1560162174211,965.5414565839379,0.0,0.9929999999999999,0.5555555555555556,7,7,5,9
H,17.0,10.0,13.0,5.0,11.0,4.0,11.0,5.0,3.0,1.0,0.0,0.0,2.37,3.2450000000000006,3.0716666666666668,2.44,3.32,3.23,4,2013,2.03,1.93,1.96,1.84,-11,0.25825367230956514,976.140746093854,1048.4357445200483,-1.0,-1.443,-0.6666666666666667,1,0,-1,-2
D,17.0,11.0,10.0,7.0,16.0,12.0,3.0,3.0,3.0,3.0,0.0,0.0,1.7750000000000001,3.5566666666666666,4.846666666666667,1.85,3.74,5.33,4,2013,2.1,1.88,1.99,1.82,2,0.2450883375885501,1008.9402716443605,994.9376232741856,1.0,0.44399999999999995,0.2222222222222222,-1,-7,-1,0
H,23.0,10.0,14.0,8.0,6.0,10.0,5.0,4.0,0.0,0.0,0.0,1.0,2.0549999999999997,3.316666666666667,3.733333333333333,2.15,3.4,3.9,4,2013,2.03,1.96,1.94,1.86,-4,0.2528815935799697,997.2623828877973,1034.7665465186492,0.0,-0.756,-0.4444444444444445,3,4,1,4
H,17.0,8.0,10.0,4.0,10.0,14.0,5.0,5.0,2.0,2.0,0.0,0.0,1.26,5.745,12.066666666666668,1.29,6.25,12.9,4,2013,1.54,2.75,1.48,2.56,1,0.2465789867860092,1010.3889236400364,1000.2127460851925,-1.0,0.3540000000000001,0.2222222222222222,8,12,9,10
